Date,Temperature,Wind Speed,Air Pressure
01-01-24,29.2,17.6,1003.0
02-01-24,7.6,54.1,1019.2
03-01-24,4.8,56.8,983.2
04-01-24,19.7,3.1,992.3
05-01-24,3.7,7.1,987.4
06-01-24,26.4,27.4,980.8
07-01-24,21.2,10.1,1025.9
08-01-24,23.0,24.4,1021.6
09-01-24,8.7,9.9,1018.2
10-01-24,15.4,12.1,1009.7
11-01-24,16.9,7.7,983.6
12-01-24,12.6,17.6,984.5
13-01-24,21.8,58.4,1003.1
14-01-24,13.0,58.2,1000.1
15-01-24,1.1,15.6,985.2
16-01-24,0.4,42.6,988.3
17-01-24,26.6,37.7,1024.3
18-01-24,29.0,43.9,1006.0
19-01-24,22.0,4.4,995.6
20-01-24,5.5,6.9,1003.8
21-01-24,10.6,20.1,1003.3
22-01-24,34.6,14.9,993.7
23-01-24,31.9,13.0,988.4
24-01-24,12.1,37.9,1004.7
25-01-24,1.0,48.3,1006.8
26-01-24,-4.9,59.0,981.2
27-01-24,9.9,20.3,985.1
28-01-24,4.4,2.4,1016.1
29-01-24,7.7,52.3,988.9
30-01-24,2.4,10.0,995.8
31-01-24,2.0,45.9,1015.2
01-02-24,25.9,36.5,1028.1
02-02-24,16.3,24.8,1016.3
03-02-24,10.0,32.2,1014.9
04-02-24,7.6,0.5,1028.9
05-02-24,30.0,25.8,984.1
06-02-24,26.9,11.0,986.7
07-02-24,33.1,33.5,1007.1
08-02-24,-4.1,58.7,987.8
09-02-24,19.9,48.0,1023.9
10-02-24,-4.7,31.1,997.2
11-02-24,11.3,16.3,1005.7
12-02-24,11.9,29.5,986.7
13-02-24,31.4,30.0,1012.7
14-02-24,28.7,24.2,1021.7
15-02-24,17.2,1.7,1006.2
16-02-24,31.4,25.7,980.3
17-02-24,-2.6,35.7,984.1
18-02-24,9.6,46.4,989.5
19-02-24,12.9,18.0,1004.2
20-02-24,29.7,52.8,986.2
21-02-24,-0.8,34.0,1014.5
22-02-24,20.2,9.7,1020.4
23-02-24,4.4,9.7,1000.7
24-02-24,12.0,37.1,1021.1
25-02-24,24.4,54.2,998.7
26-02-24,-1.6,56.1,1021.8
27-02-24,21.9,48.4,1018.2
28-02-24,33.0,18.8,1017.6
29-02-24,27.2,43.8,1006.1
