"Day","Month","Year","Country.Region","Province","Type"
24,"marzo",2020,"Afghanistan","","Full"
8,"marzo",2020,"Albania","","Full"
24,"marzo",2020,"Algeria","","Full"
16,"marzo",2020,"Andorra","","Full"
24,"marzo",2020,"Angola","","Full"
NA,NA,NA,NA,NA,NA
20,"marzo",2020,"Argentina","","Full"
24,"marzo",2020,"Armenia","","Full"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
24,"marzo",2020,"Australia","Victoria","Full"
NA,NA,NA,NA,NA,NA
16,"marzo",2020,"Austria","","Full"
2,"marzo",2020,"Azerbaijan","","Full"
20,"marzo",2020,"Bahamas","","Full"
19,"marzo",2020,"Bangladesh","","Full"
28,"marzo",2020,"Barbados","","Full"
NA,NA,NA,NA,NA,NA
17,"marzo",2020,"Belgium","","Full"
30,"marzo",2020,"Belize","","Full"
NA,NA,NA,NA,NA,NA
6,"marzo",2020,"Bhutan","","Full"
12,"marzo",2020,"Bolivia","","Full"
11,"marzo",2020,"Bosnia and Herzegovina","","Full"
2,"abril",2020,"Botswana","","Full"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
13,"marzo",2020,"Bulgaria","","Full"
21,"marzo",2020,"Burkina Faso","","Full"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
28,"marzo",2020,"Cambodia","","Partial"
NA,NA,NA,NA,NA,NA
17,"marzo",2020,"Canada","Alberta","Full"
18,"marzo",2020,"Canada","British Columbia","Full"
20,"marzo",2020,"Canada","Manitoba","Full"
19,"marzo",2020,"Canada","New Brunswick","Full"
18,"marzo",2020,"Canada","Newfoundland and Labrador","Full"
18,"marzo",2020,"Canada","Northwest Territories","Partial"
22,"marzo",2020,"Canada","Nova Scotia","Full"
14,"marzo",2020,"Canada","Ontario","Full"
16,"marzo",2020,"Canada","Prince Edward Island","Full"
12,"marzo",2020,"Canada","Quebec","Full"
18,"marzo",2020,"Canada","Saskatchewan","Full"
